,Count,passedtime | Freq. of Parent (%),passedtime/1 | Freq. of Parent (%),passedtime/2 | Freq. of Parent (%),passedtime/3 | Freq. of Parent (%),
flowmop_C3C1C05_104545_trimix.fcs,5.23E5,85.9,2.43,46.2,51.4,
flowmop_C3C1C05_403525_trimix.fcs,9.41E5,97.8,40.7,33.7,25.6,
flowmop_C3C05_1090_segment.fcs,248665,100,10.00,90.0,0,
flowmop_C3C05_1585_segment.fcs,276704,75.1,0,100,0,
flowmop_C3C05_2575_segment.fcs,298400,62.8,0,100,0,
flowmop_C3C05_5050_bimix.fcs,4.70E5,99.3,49.7,50.3,0,
flowmop_C3C05_6535_bimix.fcs,6.39E5,96.6,66.5,33.5,0,
flowmop_C3C05_9010_bimix.fcs,2.14E6,71.3,100,0,0,
flowmop_C3C05_9010_segment.fcs,2.03E6,69.2,100,0,0,
flowmop_C3C05C1_101080_trimix.fcs,7.56E5,71.8,0,4.44,95.6,
flowmop_C3C05C1_651025_trimix.fcs,2.24E6,96.3,67.0,9.24,23.7,
flowmop_C05C1_7030_bimix.fcs,335952,77.5,89.2,10.8,0,
flowmop_C05C1_7525_bimix.fcs,298380,71.0,96.9,3.10,0,
flowmop_C05C3_8515_bimix.fcs,276699,73.1,100,0,0,
flowmop_A1A3_1090_bimix.fcs,2.26E6,67.4,0,100,0,
flowmop_A1A3_1585_bimix.fcs,2.60E6,80.5,6.93,93.1,0,
flowmop_A1A3_7525_segment.fcs,7.02E5,58.0,100,0,0,
flowmop_A1A3_8020_segment.fcs,6.58E5,56.0,100,0,0,
flowmop_A1A3_9010_bimix.fcs,6.26E5,80.5,100,0,0,
flowmop_A1A3A05_551035_trimix.fcs,7.10E5,86.7,61.7,1.17,37.2,
flowmop_A1A3A05_651025_trimix.fcs,8.10E5,73.0,74.6,0,25.4,
flowmop_A1A3A05_651520_trimix.fcs,8.66E5,80.5,78.3,3.64,18.1,
Mean,8.36E5,76.6,45.7,46.9,7.34,
SD,6.21E5,13.6,39.7,40.4,18.4,
